fixture_id,kickoff,league,home_team,away_team,prediction_timestamp,status,v40_p_home,v40_p_draw,v40_p_away,v40_prediction,candidate_p_home,candidate_p_draw,candidate_p_away,candidate_prediction,v40_expected_home_goals,v40_expected_away_goals,candidate_expected_home_goals,candidate_expected_away_goals,candidate_predicted_home_goals,candidate_predicted_away_goals,candidate_predicted_score,draw_risk_score,draw_risk_tier,actual_home_goals,actual_away_goals,actual_result,v40_correct,candidate_correct
420592940,2026-08-29T16:30:00.000000Z,Serie A,Fiorentina,Frosinone,2026-08-24T11:51:20.207460+00:00,NS,0.443,0.241,0.316,H,0.4866,0.265,0.2485,H,1.65,1.05,1.62,1.03,1,1,1-1,0.3749,LOW,,,,,
420592941,2026-08-29T16:30:00.000000Z,Premier League,Tottenham Hotspur,Newcastle United,2026-08-24T11:51:20.207460+00:00,NS,0.414,0.269,0.317,H,0.4805,0.271,0.2485,H,1.65,1.05,1.62,1.03,1,1,1-1,0.502,MEDIUM,,,,,
420592944,2026-08-29T16:30:00.000000Z,Bundesliga,Borussia Dortmund,Hamburger SV,2026-08-24T11:51:20.207460+00:00,NS,0.627,0.183,0.19,H,0.5244,0.2521,0.2235,H,1.65,1.05,1.62,1.03,1,1,1-1,0.0857,LOW,,,,,
420592952,2026-08-29T17:00:00.000000Z,La Liga,Real Sociedad,Espanyol,2026-08-24T11:51:20.207460+00:00,NS,0.463,0.242,0.295,H,0.4906,0.2652,0.2442,H,1.65,1.05,1.62,1.03,1,1,1-1,0.3195,LOW,,,,,
420592997,2026-08-29T18:45:00.000000Z,Ligue 1,Lorient,Troyes,2026-08-24T11:51:20.207460+00:00,NS,0.619,0.195,0.186,H,0.5226,0.2548,0.2226,H,1.65,1.05,1.62,1.03,1,1,1-1,0.1154,LOW,,,,,
420592999,2026-08-29T18:45:00.000000Z,Ligue 1,Auxerre,Angers SCO,2026-08-24T11:51:20.207460+00:00,NS,0.525,0.245,0.23,H,0.503,0.2658,0.2312,H,1.65,1.05,1.62,1.03,1,1,1-1,0.2681,LOW,,,,,
420592998,2026-08-29T18:45:00.000000Z,Ligue 1,Brest,Toulouse,2026-08-24T11:51:20.207460+00:00,NS,0.397,0.262,0.341,H,0.4772,0.2695,0.2533,H,1.65,1.05,1.62,1.03,1,1,1-1,0.5394,MEDIUM,,,,,
420592995,2026-08-29T18:45:00.000000Z,Serie A,Juventus,Parma,2026-08-24T11:51:20.207460+00:00,NS,0.674,0.175,0.152,H,0.5339,0.2502,0.2158,H,1.65,1.05,1.62,1.03,1,1,1-1,0.0857,LOW,,,,,
420592996,2026-08-29T18:45:00.000000Z,Ligue 1,Olympique Lyonnais,Le Havre,2026-08-24T11:51:20.207460+00:00,NS,0.559,0.207,0.233,H,0.5104,0.2575,0.2321,H,1.65,1.05,1.62,1.03,1,1,1-1,0.1531,LOW,,,,,
420593006,2026-08-29T19:30:00.000000Z,La Liga,Sevilla,Atlético de Madrid,2026-08-24T11:51:20.207460+00:00,NS,0.372,0.264,0.365,H,0.4721,0.2699,0.258,H,1.65,1.05,1.62,1.03,1,1,1-1,0.6143,MEDIUM,,,,,
